,Tweet,Sentiment
0,This is a very worst product.Never buy this shit,0
1,awsome services. Please buy this its good,1
2,"@psears Hi! Sorry for the inconvenience. Due to the current situation, some of our products may be in limited suppl… https://t.co/FXFKLdFgk4",1
3,"@Jessamay_03 Hi You have reached Coca-Cola USA. We ask that you send your codes to Coca-Cola Philippines.

Coca-Col… https://t.co/MCtmicNGI3",1
4,@MoonDusttiddies Thanks for sharing this idea. We don't have any plans to introduce larger packages of the Quebec M… https://t.co/JOcxzF339J,1
5,"@sameliza34 Hi Samantha. We appreciate your loyalty. To meet extremely high demand for certain products, we’re temp… https://t.co/N7X0EWYYEE",0
6,@AricGiddensMD Hi Aric. We appreciate your loyalty to Fresca. Due to high demand for certain products during this u… https://t.co/qxZInhtrqB,1
7,@thearkadas Thanks for your interest. Please submit your sponsorship request for review here: https://t.co/CAzRoMm1eT,1
8,"@juliecham8 Hi Julie. We appreciate your loyalty. To meet extremely high demand for certain products, we’re tempora… https://t.co/difoSJovbY",1
9,"@JAguirre_15 Thanks for reaching out and we'd like to look into this further. If you could, please give us a call (… https://t.co/JZx49GTV7D",1
10,@dubndatub Hi! Thanks for being a passionate flavor fan. During this unprecedented time we are making every effort… https://t.co/1hBf4BZDYG,0
11,@Mad_IrishmanSid Hi! Thanks for being a passionate flavor fan. During this unprecedented time we are making every e… https://t.co/65LJ2xYtf7,0
12,"@BigBBeast Hi. Thanks for being a dedicated fan! For the time being, we are shifting our priorities to our most pop… https://t.co/GsNkp6Vupv",0
13,@Draculadarkan We'd like to look into this. Please send us a direct  message with the country where you are located… https://t.co/36OErbmv4B,1
14,"@pdxgrlgeek Our deliveries are organized regionally through our local, independent bottlers. We recommend reaching… https://t.co/RTfUq2W5pt",1
15,"@GeoffCJackson Hi! We appreciate your flavor fandom. Temporarily, we are shifting our focus to accommodate our beve… https://t.co/cZqmWFtlfM",1
16,@russellfrost Hi Russell! You will want to contact Dr Pepper Keurig to get the word on their product distribution situation.,0
17,@KimberlyDoell Hi Kimberly. Your local retailer should have contact information listed on their web site.,1
18,@MagicalMarci Sorry you are unable to find any Coca-Cola Zero Caffeine Free. Unfortunately with extreme demand for… https://t.co/gDkNIS1Nd4,1
19,@morlan1987 Sadly we are not able to provide assistance for requests outside the USA. Below is all the information… https://t.co/edpqlObzyE,1
20,"@hlm51 Hi Harold, stay tuned on https://t.co/b1drH0yg1R. Keep checking in as we're updating them often!",0
21,"@JennaMichelle29 We currently offer online purchasing from Kroger, HEB and Instacart. However, our deliveries are o… https://t.co/Xhq3w3VPJv",0
22,"@Santa_Rosa_ACNH Thanks for being a dedicated flavor fan! For the time being, we are shifting our priorities to our… https://t.co/ACVmtvi5cc",1
23,"@SummerSanders Hi Summer. We appreciate your loyalty. To meet extremely high demand for certain products, we’re tem… https://t.co/XDyC48vfvV",1
24,"@JennaMichelle29 Thanks for reaching out to us again, Jenna. We currently offer both 4-packs and 6-packs of the 10-… https://t.co/hvnAbvfCCT",1
25,@RobRuppe We appreciate your loyalty to Sprite and Sprite Ginger Zero Sugar. Due to high demand for certain product… https://t.co/D86mt7BGcX,1
26,@JennaMichelle29 Hi! Due to rising fruit costs the 15.2-ounce bottle was reduced to 12 fluid ounces. We do not offe… https://t.co/5YwXQdeTzJ,0
27,"@atalip01 Hi! Due to extraordinary demand, we are temporarily shifting priorities to produce more of our most popul… https://t.co/MZ4pYmpnqu",0
28,"@JeffKikel Hi, Jeff! Due to extraordinary demand, we are temporarily shifting priorities to produce more of our mos… https://t.co/GmBjuKv7RD",1
29,@D_MarieJ We'll be happy to share your request to see it return to bottles and cans in the U.S. Thanks for reaching out!,0
30,"@KimberlyDoell Thanks for reaching out to us, Kimberly. Our deliveries are organized regionally through our local,… https://t.co/b1dL1fm3iP",0
31,"@Byrdiestweets For the time being, we are shifting our priorities to our most popular beverages. In the meantime, c… https://t.co/bwrQ5Et6SI",1
32,@tiaannfinch Hi Tia ann. Sorry about that. Please contact our Coca-Cola division that handles your region for assis… https://t.co/nPDVvW3iN9,0
33,"@D_MarieJ Although Coke Zero Sugar Lemon can be found in our Coca-Cola Freestyle machines, it is not available in c… https://t.co/u9uerNJR1I",1
34,"@a_greyshirt For the time being, we are shifting our priorities to our most popular beverages. In the meantime, che… https://t.co/BQi7E2FLcL",1
35,@JackBodell2 We are sorry to hear that Jack. You may wish to contact our business unit responsible for your area fo… https://t.co/P3Nnts7k3w,0
36,@Onionween Hi! Thanks for being a passionate flavor fan. During this unprecedented time we are making every effort… https://t.co/Q98iZgV7KE,0
37,"@PRAJJWA48789243 Hello Prajjwal, please contact our office in your area, and they should be able to assist you furt… https://t.co/2SJGn5GMAH",1
38,"@tcharnota We appreciate your flavor fandom. Temporarily, we are shifting our focus to accommodate our beverages wi… https://t.co/suLJ3eDH0C",0
39,@Gustavovski1 We're sorry to hear that. Please contact our Brazil office via their website at… https://t.co/8Z4HROrsO7,1
40,"@Firstna75234420 We're sorry to hear that happened. Please let our Brazil office know about this, so they can assis… https://t.co/hYSW4wFW14",1
41,"@WinterParkBoy1 Hi. We appreciate your loyalty. To meet extremely high demand for certain products, we’re temporari… https://t.co/VCoo808Hb3",1
42,"@mhodges15 Hi Missy. We appreciate your loyalty. To meet extremely high demand for certain products, we’re temporar… https://t.co/CNCEy993Pj",1
43,"@GeoffCJackson Hi Geoffrey. We appreciate your loyalty. To meet extremely high demand for certain products, we’re t… https://t.co/IXwr8KyEOO",1
44,"@johndbrown04 Hi. We appreciate your loyalty. To meet extremely high demand for certain products, we’re temporarily… https://t.co/d3PFAZeZYn",1
45,"@jeffhoss15 Hi Jeff. Thanks for being a dedicated flavor fan! For the time being, we are shifting our priorities to… https://t.co/isaAkaqRMv",0
46,"@G_Yidz Please contact our office in your area, and they should be able to assist you further. Here is their contac… https://t.co/EkRhitobdB",0
47,"@SavoieGary Hi Gary. Like many companies, we are seeing very high demand for products enjoyed at home during this u… https://t.co/n0PVFGejSS",0
48,"@lanewriteswords Hi Lane. Thanks for being a dedicated flavor fan! For the time being, we are shifting our prioriti… https://t.co/Mui62TvzHz",0
